line_no,query,rank,score,raw_score,source,qualname,location,file_path,chunk_id,text
2,"Issue with send_file() and send_from_directory() not sending I'm following the pattern here to try and send a file from temporary storage and I'm encountering an error that I don't know how to debug.  I was hoping somebody here can help. I have a view function that redirects to a function that calls send_file() (I've tried both send_file() and send_from_directory).  I'm not seeing any exceptions and everything seems to work fine, but the file is not sending.  When I open up dev tools in Chrome or Edge, however i can see the file in the network panel (no error code there either -- it redirected with status code 200). And if I double-click it it will then be downloaded as an attachment.  Any clue why it is not sending automatically?  Not sure if it matters, but I'm using Flask==2.3.2, but I've tried with Flask==3.1.2 as well. Here's the gist of what I'm doing: @app.route('/some-function', methods=['GET','POST']) def some_function():     # some stuff happens (I define filename and do some other simple things)     if request.method == 'POST':         updates = request.data    # get some data  -- this works fine         df = pandas_function(updates)    # do some stuff with that data -- this works fine         df.to_excel(os.path.join(app.cofing['UPLOAD_FOLDER'], filename)  # write file -- this works fine          return redirect(url_for('download_file', filename=filename))     return render_template('some_template.html')  @app.route('/uploads/<filename>') def download_file(filename):     print('i just redirected')    # this prints so it seems like it redirected successfully     return send_from_directory(os.path.join(current_app.root_path, app.config['UPLOAD_FOLDER']), filename, as_attachment=True) Thanks for any help you can offer!",1,0.7149240970611572,0.7149240970611572,flask,send_from_directory,,d:\499\src\flask-3.1.2\flask-3.1.2\src\flask\helpers.py,44808507d2f2fda08e93a65dc9dd11b509ae4e6c,
2,"Issue with send_file() and send_from_directory() not sending I'm following the pattern here to try and send a file from temporary storage and I'm encountering an error that I don't know how to debug.  I was hoping somebody here can help. I have a view function that redirects to a function that calls send_file() (I've tried both send_file() and send_from_directory).  I'm not seeing any exceptions and everything seems to work fine, but the file is not sending.  When I open up dev tools in Chrome or Edge, however i can see the file in the network panel (no error code there either -- it redirected with status code 200). And if I double-click it it will then be downloaded as an attachment.  Any clue why it is not sending automatically?  Not sure if it matters, but I'm using Flask==2.3.2, but I've tried with Flask==3.1.2 as well. Here's the gist of what I'm doing: @app.route('/some-function', methods=['GET','POST']) def some_function():     # some stuff happens (I define filename and do some other simple things)     if request.method == 'POST':         updates = request.data    # get some data  -- this works fine         df = pandas_function(updates)    # do some stuff with that data -- this works fine         df.to_excel(os.path.join(app.cofing['UPLOAD_FOLDER'], filename)  # write file -- this works fine          return redirect(url_for('download_file', filename=filename))     return render_template('some_template.html')  @app.route('/uploads/<filename>') def download_file(filename):     print('i just redirected')    # this prints so it seems like it redirected successfully     return send_from_directory(os.path.join(current_app.root_path, app.config['UPLOAD_FOLDER']), filename, as_attachment=True) Thanks for any help you can offer!",2,0.6430784463882446,0.6430784463882446,flask,Flask.send_static_file,,d:\499\src\flask-3.1.2\flask-3.1.2\src\flask\app.py,c489d69714a72cefb058fb26c8d8d988653fbce5,
2,"Issue with send_file() and send_from_directory() not sending I'm following the pattern here to try and send a file from temporary storage and I'm encountering an error that I don't know how to debug.  I was hoping somebody here can help. I have a view function that redirects to a function that calls send_file() (I've tried both send_file() and send_from_directory).  I'm not seeing any exceptions and everything seems to work fine, but the file is not sending.  When I open up dev tools in Chrome or Edge, however i can see the file in the network panel (no error code there either -- it redirected with status code 200). And if I double-click it it will then be downloaded as an attachment.  Any clue why it is not sending automatically?  Not sure if it matters, but I'm using Flask==2.3.2, but I've tried with Flask==3.1.2 as well. Here's the gist of what I'm doing: @app.route('/some-function', methods=['GET','POST']) def some_function():     # some stuff happens (I define filename and do some other simple things)     if request.method == 'POST':         updates = request.data    # get some data  -- this works fine         df = pandas_function(updates)    # do some stuff with that data -- this works fine         df.to_excel(os.path.join(app.cofing['UPLOAD_FOLDER'], filename)  # write file -- this works fine          return redirect(url_for('download_file', filename=filename))     return render_template('some_template.html')  @app.route('/uploads/<filename>') def download_file(filename):     print('i just redirected')    # this prints so it seems like it redirected successfully     return send_from_directory(os.path.join(current_app.root_path, app.config['UPLOAD_FOLDER']), filename, as_attachment=True) Thanks for any help you can offer!",3,0.6332122087478638,0.6332122087478638,flask,send_file,,d:\499\src\flask-3.1.2\flask-3.1.2\src\flask\helpers.py,e4349f8c793a98e1c2a8133fd2dd5d00ea3edd7c,
2,"Issue with send_file() and send_from_directory() not sending I'm following the pattern here to try and send a file from temporary storage and I'm encountering an error that I don't know how to debug.  I was hoping somebody here can help. I have a view function that redirects to a function that calls send_file() (I've tried both send_file() and send_from_directory).  I'm not seeing any exceptions and everything seems to work fine, but the file is not sending.  When I open up dev tools in Chrome or Edge, however i can see the file in the network panel (no error code there either -- it redirected with status code 200). And if I double-click it it will then be downloaded as an attachment.  Any clue why it is not sending automatically?  Not sure if it matters, but I'm using Flask==2.3.2, but I've tried with Flask==3.1.2 as well. Here's the gist of what I'm doing: @app.route('/some-function', methods=['GET','POST']) def some_function():     # some stuff happens (I define filename and do some other simple things)     if request.method == 'POST':         updates = request.data    # get some data  -- this works fine         df = pandas_function(updates)    # do some stuff with that data -- this works fine         df.to_excel(os.path.join(app.cofing['UPLOAD_FOLDER'], filename)  # write file -- this works fine          return redirect(url_for('download_file', filename=filename))     return render_template('some_template.html')  @app.route('/uploads/<filename>') def download_file(filename):     print('i just redirected')    # this prints so it seems like it redirected successfully     return send_from_directory(os.path.join(current_app.root_path, app.config['UPLOAD_FOLDER']), filename, as_attachment=True) Thanks for any help you can offer!",4,0.628605842590332,0.628605842590332,flask,Blueprint.send_static_file,,d:\499\src\flask-3.1.2\flask-3.1.2\src\flask\blueprints.py,7bbaac0ef0c9600e8a8310bea496e6d1af4d92b9,
2,"Issue with send_file() and send_from_directory() not sending I'm following the pattern here to try and send a file from temporary storage and I'm encountering an error that I don't know how to debug.  I was hoping somebody here can help. I have a view function that redirects to a function that calls send_file() (I've tried both send_file() and send_from_directory).  I'm not seeing any exceptions and everything seems to work fine, but the file is not sending.  When I open up dev tools in Chrome or Edge, however i can see the file in the network panel (no error code there either -- it redirected with status code 200). And if I double-click it it will then be downloaded as an attachment.  Any clue why it is not sending automatically?  Not sure if it matters, but I'm using Flask==2.3.2, but I've tried with Flask==3.1.2 as well. Here's the gist of what I'm doing: @app.route('/some-function', methods=['GET','POST']) def some_function():     # some stuff happens (I define filename and do some other simple things)     if request.method == 'POST':         updates = request.data    # get some data  -- this works fine         df = pandas_function(updates)    # do some stuff with that data -- this works fine         df.to_excel(os.path.join(app.cofing['UPLOAD_FOLDER'], filename)  # write file -- this works fine          return redirect(url_for('download_file', filename=filename))     return render_template('some_template.html')  @app.route('/uploads/<filename>') def download_file(filename):     print('i just redirected')    # this prints so it seems like it redirected successfully     return send_from_directory(os.path.join(current_app.root_path, app.config['UPLOAD_FOLDER']), filename, as_attachment=True) Thanks for any help you can offer!",5,0.579384982585907,0.579384982585907,docs,patterns\fileuploads.rst#Uploading Files,,d:\499\docs\patterns\fileuploads.rst,aa56632513da0ec7934d91acb545eab0aa9e26eb,
2,"Issue with send_file() and send_from_directory() not sending I'm following the pattern here to try and send a file from temporary storage and I'm encountering an error that I don't know how to debug.  I was hoping somebody here can help. I have a view function that redirects to a function that calls send_file() (I've tried both send_file() and send_from_directory).  I'm not seeing any exceptions and everything seems to work fine, but the file is not sending.  When I open up dev tools in Chrome or Edge, however i can see the file in the network panel (no error code there either -- it redirected with status code 200). And if I double-click it it will then be downloaded as an attachment.  Any clue why it is not sending automatically?  Not sure if it matters, but I'm using Flask==2.3.2, but I've tried with Flask==3.1.2 as well. Here's the gist of what I'm doing: @app.route('/some-function', methods=['GET','POST']) def some_function():     # some stuff happens (I define filename and do some other simple things)     if request.method == 'POST':         updates = request.data    # get some data  -- this works fine         df = pandas_function(updates)    # do some stuff with that data -- this works fine         df.to_excel(os.path.join(app.cofing['UPLOAD_FOLDER'], filename)  # write file -- this works fine          return redirect(url_for('download_file', filename=filename))     return render_template('some_template.html')  @app.route('/uploads/<filename>') def download_file(filename):     print('i just redirected')    # this prints so it seems like it redirected successfully     return send_from_directory(os.path.join(current_app.root_path, app.config['UPLOAD_FOLDER']), filename, as_attachment=True) Thanks for any help you can offer!",6,0.5746768712997437,0.5746768712997437,flask,Blueprint.get_send_file_max_age,,d:\499\src\flask-3.1.2\flask-3.1.2\src\flask\blueprints.py,c8305ce1ba2a7a34f2382f3aef5aae18ddf041f4,
2,"Issue with send_file() and send_from_directory() not sending I'm following the pattern here to try and send a file from temporary storage and I'm encountering an error that I don't know how to debug.  I was hoping somebody here can help. I have a view function that redirects to a function that calls send_file() (I've tried both send_file() and send_from_directory).  I'm not seeing any exceptions and everything seems to work fine, but the file is not sending.  When I open up dev tools in Chrome or Edge, however i can see the file in the network panel (no error code there either -- it redirected with status code 200). And if I double-click it it will then be downloaded as an attachment.  Any clue why it is not sending automatically?  Not sure if it matters, but I'm using Flask==2.3.2, but I've tried with Flask==3.1.2 as well. Here's the gist of what I'm doing: @app.route('/some-function', methods=['GET','POST']) def some_function():     # some stuff happens (I define filename and do some other simple things)     if request.method == 'POST':         updates = request.data    # get some data  -- this works fine         df = pandas_function(updates)    # do some stuff with that data -- this works fine         df.to_excel(os.path.join(app.cofing['UPLOAD_FOLDER'], filename)  # write file -- this works fine          return redirect(url_for('download_file', filename=filename))     return render_template('some_template.html')  @app.route('/uploads/<filename>') def download_file(filename):     print('i just redirected')    # this prints so it seems like it redirected successfully     return send_from_directory(os.path.join(current_app.root_path, app.config['UPLOAD_FOLDER']), filename, as_attachment=True) Thanks for any help you can offer!",7,0.5722938179969788,0.5722938179969788,docs,quickstart.rst#File Uploads,,d:\499\docs\quickstart.rst,a4b78cdf97e5a4e16b78441aee6759e093d75f7c,
2,"Issue with send_file() and send_from_directory() not sending I'm following the pattern here to try and send a file from temporary storage and I'm encountering an error that I don't know how to debug.  I was hoping somebody here can help. I have a view function that redirects to a function that calls send_file() (I've tried both send_file() and send_from_directory).  I'm not seeing any exceptions and everything seems to work fine, but the file is not sending.  When I open up dev tools in Chrome or Edge, however i can see the file in the network panel (no error code there either -- it redirected with status code 200). And if I double-click it it will then be downloaded as an attachment.  Any clue why it is not sending automatically?  Not sure if it matters, but I'm using Flask==2.3.2, but I've tried with Flask==3.1.2 as well. Here's the gist of what I'm doing: @app.route('/some-function', methods=['GET','POST']) def some_function():     # some stuff happens (I define filename and do some other simple things)     if request.method == 'POST':         updates = request.data    # get some data  -- this works fine         df = pandas_function(updates)    # do some stuff with that data -- this works fine         df.to_excel(os.path.join(app.cofing['UPLOAD_FOLDER'], filename)  # write file -- this works fine          return redirect(url_for('download_file', filename=filename))     return render_template('some_template.html')  @app.route('/uploads/<filename>') def download_file(filename):     print('i just redirected')    # this prints so it seems like it redirected successfully     return send_from_directory(os.path.join(current_app.root_path, app.config['UPLOAD_FOLDER']), filename, as_attachment=True) Thanks for any help you can offer!",8,0.5687886476516724,0.5687886476516724,flask,Flask.get_send_file_max_age,,d:\499\src\flask-3.1.2\flask-3.1.2\src\flask\app.py,7ed3163e62dc47435697e83110e6bd4d52b15476,
2,"Issue with send_file() and send_from_directory() not sending I'm following the pattern here to try and send a file from temporary storage and I'm encountering an error that I don't know how to debug.  I was hoping somebody here can help. I have a view function that redirects to a function that calls send_file() (I've tried both send_file() and send_from_directory).  I'm not seeing any exceptions and everything seems to work fine, but the file is not sending.  When I open up dev tools in Chrome or Edge, however i can see the file in the network panel (no error code there either -- it redirected with status code 200). And if I double-click it it will then be downloaded as an attachment.  Any clue why it is not sending automatically?  Not sure if it matters, but I'm using Flask==2.3.2, but I've tried with Flask==3.1.2 as well. Here's the gist of what I'm doing: @app.route('/some-function', methods=['GET','POST']) def some_function():     # some stuff happens (I define filename and do some other simple things)     if request.method == 'POST':         updates = request.data    # get some data  -- this works fine         df = pandas_function(updates)    # do some stuff with that data -- this works fine         df.to_excel(os.path.join(app.cofing['UPLOAD_FOLDER'], filename)  # write file -- this works fine          return redirect(url_for('download_file', filename=filename))     return render_template('some_template.html')  @app.route('/uploads/<filename>') def download_file(filename):     print('i just redirected')    # this prints so it seems like it redirected successfully     return send_from_directory(os.path.join(current_app.root_path, app.config['UPLOAD_FOLDER']), filename, as_attachment=True) Thanks for any help you can offer!",9,0.5555716753005981,0.5555716753005981,flask,FormDataRoutingRedirect.__init__,,d:\499\src\flask-3.1.2\flask-3.1.2\src\flask\debughelpers.py,897ecb46f1df42a07069a2002d9f4d5a22987f95,
2,"Issue with send_file() and send_from_directory() not sending I'm following the pattern here to try and send a file from temporary storage and I'm encountering an error that I don't know how to debug.  I was hoping somebody here can help. I have a view function that redirects to a function that calls send_file() (I've tried both send_file() and send_from_directory).  I'm not seeing any exceptions and everything seems to work fine, but the file is not sending.  When I open up dev tools in Chrome or Edge, however i can see the file in the network panel (no error code there either -- it redirected with status code 200). And if I double-click it it will then be downloaded as an attachment.  Any clue why it is not sending automatically?  Not sure if it matters, but I'm using Flask==2.3.2, but I've tried with Flask==3.1.2 as well. Here's the gist of what I'm doing: @app.route('/some-function', methods=['GET','POST']) def some_function():     # some stuff happens (I define filename and do some other simple things)     if request.method == 'POST':         updates = request.data    # get some data  -- this works fine         df = pandas_function(updates)    # do some stuff with that data -- this works fine         df.to_excel(os.path.join(app.cofing['UPLOAD_FOLDER'], filename)  # write file -- this works fine          return redirect(url_for('download_file', filename=filename))     return render_template('some_template.html')  @app.route('/uploads/<filename>') def download_file(filename):     print('i just redirected')    # this prints so it seems like it redirected successfully     return send_from_directory(os.path.join(current_app.root_path, app.config['UPLOAD_FOLDER']), filename, as_attachment=True) Thanks for any help you can offer!",10,0.5458739995956421,0.5458739995956421,docs,patterns\fileuploads.rst#A Gentle Introduction,,d:\499\docs\patterns\fileuploads.rst,9d6933869ddb42b5be001aeeb7f46fb0770b9306,
3,"How to add HTML into a Beautiful Table cell? Hi, first time question asker here. I am trying to add some HTML code into a table based on Miguel Grinberg's Beautiful basic table.  I am still a novice at Flask, so please forgive me if this is a ""stupid"" question.  When I use the following, the table displays as expected: new gridjs.Grid({ columns: [ { id: 'event_id', name: 'Event ID', sort: false } ... But when I add the following formatter sequence, the table fails to display. new gridjs.Grid({ columns: [ { id: 'event_id', name: 'Event ID', sort: false, formatter: (cell) => html('${cell}') }, ... What am I doing wrong?  Is there a way to add HTML (and specifically href) to a table cell? Thank you for your time and consideration. Best regards, ET",1,0.39566755294799805,0.39566755294799805,docs,api.rst#JSON Support,,d:\499\docs\api.rst,fbd87be76e29e9913e8259191b165b5cb3a8b354,
3,"How to add HTML into a Beautiful Table cell? Hi, first time question asker here. I am trying to add some HTML code into a table based on Miguel Grinberg's Beautiful basic table.  I am still a novice at Flask, so please forgive me if this is a ""stupid"" question.  When I use the following, the table displays as expected: new gridjs.Grid({ columns: [ { id: 'event_id', name: 'Event ID', sort: false } ... But when I add the following formatter sequence, the table fails to display. new gridjs.Grid({ columns: [ { id: 'event_id', name: 'Event ID', sort: false, formatter: (cell) => html('${cell}') }, ... What am I doing wrong?  Is there a way to add HTML (and specifically href) to a table cell? Thank you for your time and consideration. Best regards, ET",2,0.366145521402359,0.366145521402359,docs,quickstart.rst#Rendering Templates,,d:\499\docs\quickstart.rst,41660faaae172031611b75193e99aa002ba35d76,
3,"How to add HTML into a Beautiful Table cell? Hi, first time question asker here. I am trying to add some HTML code into a table based on Miguel Grinberg's Beautiful basic table.  I am still a novice at Flask, so please forgive me if this is a ""stupid"" question.  When I use the following, the table displays as expected: new gridjs.Grid({ columns: [ { id: 'event_id', name: 'Event ID', sort: false } ... But when I add the following formatter sequence, the table fails to display. new gridjs.Grid({ columns: [ { id: 'event_id', name: 'Event ID', sort: false, formatter: (cell) => html('${cell}') }, ... What am I doing wrong?  Is there a way to add HTML (and specifically href) to a table cell? Thank you for your time and consideration. Best regards, ET",3,0.36604979634284973,0.36604979634284973,docs,patterns\javascript.rst#Rendering Templates,,d:\499\docs\patterns\javascript.rst,6e800024d3dadc7de91f3646b59d113b530a0ab2,
3,"How to add HTML into a Beautiful Table cell? Hi, first time question asker here. I am trying to add some HTML code into a table based on Miguel Grinberg's Beautiful basic table.  I am still a novice at Flask, so please forgive me if this is a ""stupid"" question.  When I use the following, the table displays as expected: new gridjs.Grid({ columns: [ { id: 'event_id', name: 'Event ID', sort: false } ... But when I add the following formatter sequence, the table fails to display. new gridjs.Grid({ columns: [ { id: 'event_id', name: 'Event ID', sort: false, formatter: (cell) => html('${cell}') }, ... What am I doing wrong?  Is there a way to add HTML (and specifically href) to a table cell? Thank you for your time and consideration. Best regards, ET",4,0.3350943624973297,0.3350943624973297,docs,web-security.rst#JSON Security,,d:\499\docs\web-security.rst,3b4316b221219dcb0f5833e0f637b574de66c1b1,
3,"How to add HTML into a Beautiful Table cell? Hi, first time question asker here. I am trying to add some HTML code into a table based on Miguel Grinberg's Beautiful basic table.  I am still a novice at Flask, so please forgive me if this is a ""stupid"" question.  When I use the following, the table displays as expected: new gridjs.Grid({ columns: [ { id: 'event_id', name: 'Event ID', sort: false } ... But when I add the following formatter sequence, the table fails to display. new gridjs.Grid({ columns: [ { id: 'event_id', name: 'Event ID', sort: false, formatter: (cell) => html('${cell}') }, ... What am I doing wrong?  Is there a way to add HTML (and specifically href) to a table cell? Thank you for your time and consideration. Best regards, ET",5,0.33056482672691345,0.33056482672691345,docs,quickstart.rst#HTML Escaping,,d:\499\docs\quickstart.rst,3f4c35aa993725f9557f7ebf3271d1976f552b91,
3,"How to add HTML into a Beautiful Table cell? Hi, first time question asker here. I am trying to add some HTML code into a table based on Miguel Grinberg's Beautiful basic table.  I am still a novice at Flask, so please forgive me if this is a ""stupid"" question.  When I use the following, the table displays as expected: new gridjs.Grid({ columns: [ { id: 'event_id', name: 'Event ID', sort: false } ... But when I add the following formatter sequence, the table fails to display. new gridjs.Grid({ columns: [ { id: 'event_id', name: 'Event ID', sort: false, formatter: (cell) => html('${cell}') }, ... What am I doing wrong?  Is there a way to add HTML (and specifically href) to a table cell? Thank you for your time and consideration. Best regards, ET",6,0.32782983779907227,0.32782983779907227,docs,templating.rst#Jinja Setup,,d:\499\docs\templating.rst,6987818864195d742dc774c64b512a4f95692813,
3,"How to add HTML into a Beautiful Table cell? Hi, first time question asker here. I am trying to add some HTML code into a table based on Miguel Grinberg's Beautiful basic table.  I am still a novice at Flask, so please forgive me if this is a ""stupid"" question.  When I use the following, the table displays as expected: new gridjs.Grid({ columns: [ { id: 'event_id', name: 'Event ID', sort: false } ... But when I add the following formatter sequence, the table fails to display. new gridjs.Grid({ columns: [ { id: 'event_id', name: 'Event ID', sort: false, formatter: (cell) => html('${cell}') }, ... What am I doing wrong?  Is there a way to add HTML (and specifically href) to a table cell? Thank you for your time and consideration. Best regards, ET",7,0.3264352083206177,0.3264352083206177,flask,TagMarkup.to_json,,d:\499\src\flask-3.1.2\flask-3.1.2\src\flask\json\tag.py,650ef6b558e13943f2ac910994f5d2e40d487c1e,
